id,sales_date,sales_amount
1,2025-01-01,3860
2,2025-01-02,6772
3,2025-01-03,6092
4,2025-01-04,3466
5,2025-01-05,7426
6,2025-01-06,6444
7,2025-01-07,6171
8,2025-01-08,5919
9,2025-01-09,3130
10,2025-01-10,4685
11,2025-01-11,3769
12,2025-01-12,5391
13,2025-01-13,5433
14,2025-01-14,4184
15,2025-01-15,7555
16,2025-01-16,6385
17,2025-01-17,7117
18,2025-01-18,7843
19,2025-01-19,5904
20,2025-01-20,3474
21,2025-01-21,4082
22,2025-01-22,5558
23,2025-01-23,5047
24,2025-01-24,5747
25,2025-01-25,3975
26,2025-01-26,4806
27,2025-01-27,3189
28,2025-01-28,5734
29,2025-01-29,6005
30,2025-01-30,7658
31,2025-01-31,4899
32,2025-02-01,4267
33,2025-02-02,4528
34,2025-02-03,6202
35,2025-02-04,6556
36,2025-02-05,6890
37,2025-02-06,3646
38,2025-02-07,5888
39,2025-02-08,5435
40,2025-02-09,3600
41,2025-02-10,5363
42,2025-02-11,5061
43,2025-02-12,3241
44,2025-02-13,5041
45,2025-02-14,5824
46,2025-02-15,5612
47,2025-02-16,4363
48,2025-02-17,4478
49,2025-02-18,5556
50,2025-02-19,3775
51,2025-02-20,7014
52,2025-02-21,3034
53,2025-02-22,6152
54,2025-02-23,4955
55,2025-02-24,4585
56,2025-02-25,6943
57,2025-02-26,6073
58,2025-02-27,4021
59,2025-02-28,6461
60,2025-03-01,5613
61,2025-03-02,6843
62,2025-03-03,4500
63,2025-03-04,7798
64,2025-03-05,3161
65,2025-03-06,7297
66,2025-03-07,4981
67,2025-03-08,3995
68,2025-03-09,7911
69,2025-03-10,6342
70,2025-03-11,7551
71,2025-03-12,6798
72,2025-03-13,4275
73,2025-03-14,4016
74,2025-03-15,3337
75,2025-03-16,3878
76,2025-03-17,4076
77,2025-03-18,7887
78,2025-03-19,6993
79,2025-03-20,7859
80,2025-03-21,3379
81,2025-03-22,3492
82,2025-03-23,5062
83,2025-03-24,6884
84,2025-03-25,3064
85,2025-03-26,5568
86,2025-03-27,5027
87,2025-03-28,5695
88,2025-03-29,4495
89,2025-03-30,3391
90,2025-03-31,7514
91,2025-04-01,7474
